ref,value,footprint,quantity,supplier,notes
TR1,12VAC 2A center-tap,external,1,nacional,Transformador externo con secundario partido
F1,Fuse 500mA slow,5x20mm,1,nacional,Protección primario 110VAC
MOV1,MOV 14mm 275V,disc,1,nacional,Opcional — supresor de transitorios primario
BR1,KBP307 / DF06M,DIP-4,1,nacional,Puente rectificador 2A mínimo
U1,LM7812,TO-220,1,nacional,Regulador +12V (con zócalo)
U2,LM7912,TO-220,1,nacional,Regulador -12V (tab = -Vin, aislar del chasis)
U3,LM7805,TO-220,1,nacional,Regulador +5V aux (opcional — ver design-notes §10)
C1,4700uF/25V electrolytic,Radial-D10,1,nacional,Bulk +V tras bridge
C2,4700uF/25V electrolytic,Radial-D10,1,nacional,Bulk -V tras bridge
C3,0.33uF ceramic,C_Disc_D5_W2.5_P5,3,nacional,Entrada de cada regulador (TI app note)
C4,100uF/25V electrolytic,Radial-D6.3,3,nacional,Salida de cada regulador
C5,0.1uF ceramic,C_Disc_D5_W2.5_P5,3,nacional,Bypass HF salida regulador
D1,1N4001,DO-41,3,nacional,Diodos de protección anti-backfeed (uno por riel)
HS1,Heatsink TO-220 Rth<=20 C/W,—,3,nacional,Disipadores con aleta
LED1,LED rojo 3mm,LED-3mm,1,nacional,Indicador +12V
LED2,LED amarillo 3mm,LED-3mm,1,nacional,Indicador -12V
LED3,LED verde 3mm,LED-3mm,1,nacional,Indicador +5V
R_LED,2.2k 1/4W,R_Axial,3,nacional,Limitadora de corriente LED
SOCKET_TO220,TO-220 socket,—,3,nacional,Zócalo para reguladores (hot-swap)
J_IN,Barrier block 2 pos,TB-2,1,nacional,Entrada del transformador
J_BUS,Pin header 2x5,1x10,2,nacional,Distribución al bus board (-12/-12/GND/GND/+12/+12/+5/+5)
